Geocode,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent
35045000708,San Juan, Northeast/Bloomfield    ,0.25,4,87,"4,530",0.019205298
35045000900,San Juan, South    ,0.09,2,24,"1,973",0.012164217
35045942801,San Juan, West    ,0.3,4,10,"2,717",0.00368053
35045942802,San Juan, West    ,0.26,4,868,"6,142",0.141322045
35045942803,San Juan, West    ,0.4,6,15,"2,625",0.005714286
35045942900,San Juan,Rez betw Gallup and Shiprock,0.41,6,237,"4,971",0.047676524
35045943000,San Juan,Upper Fruitland,0.29,4,210,"4,796",0.043786489
35045943100,San Juan, South    ,0.29,4,7,"1,816",0.003854626
35045943201,San Juan, South    ,0.36,5,130,"5,685",0.022867194
35045943300,San Juan, Farmington West/Kirtland/La Plata  ,0.23,4,38,"2,204",0.017241379
35047957200,San Miguel, Las Vegas   ,0.32,5,20,"3,651",0.005477951
35047957300,San Miguel, Las Vegas   ,0.41,6,26,"3,093",0.008406078
35047957400,San Miguel, Las Vegas   ,0.33,5,37,"4,351",0.008503792
35047957500,Mora/Guadalupe/San Miguel,East     ,0.17,3,37,"4,145",0.008926417
35047957600,San Miguel, Pecos/Villanueva    ,0.19,3,62,"6,219",0.009969448
35047957700,San Miguel, Pecos/Villanueva    ,0.33,5,28,"2,290",0.012227074
35047957800,San Miguel, Las Vegas   ,0.35,5,56,"4,281",0.013081056
35049000101,Santa Fe, Opera Vicinity   ,0.06,2,27,"3,956",0.006825076
35049000200,Santa Fe, Opera Vicinity   ,0.1,2,28,"3,613",0.007749792
35049000300,Santa Fe, Agua Fria Neighborhood + Downtown,0.16,3,14,"1,482",0.009446694
35049000400,Santa Fe, Agua Fria Neighborhood + Downtown,0.08,2,21,282,0.074468085
35049000500,Santa Fe, Agua Fria Neighborhood + Downtown,0.09,2,16,"2,331",0.006864007
35049000600,Santa Fe, Agua Fria Neighborhood + Downtown,0.07,2,23,"2,110",0.010900474
35049000700,Santa Fe, Agua Fria Neighborhood + Downtown,0.15,3,22,"2,163",0.010171059
35049000800,Santa Fe, Agua Fria Neighborhood + Downtown,0.26,4,24,"3,085",0.007779579
35049000900,Santa Fe, Agua Fria Neighborhood + Downtown,0.13,3,62,"3,673",0.016879935
35049001001,Santa Fe, Agua Fria Neighborhood + Downtown,0.14,3,38,"1,924",0.01975052
35049001002,Santa Fe, Agua Fria Neighborhood + Downtown,0.23,4,81,"3,637",0.022271103
35049001102,Santa Fe, Agua Fria Neighborhood + Downtown,0.12,3,56,"3,289",0.017026452
35049001103,Santa Fe, Bellamah/Stamm    ,0.19,3,38,"1,967",0.01931876
35049001105,Santa Fe, Bellamah/Stamm    ,0.11,3,27,"2,528",0.01068038
35049001106,Santa Fe, Bellamah/Stamm    ,0.24,4,125,"2,689",0.046485682
35049001107,Santa Fe, Bellamah/Stamm    ,0.07,2,130,"5,303",0.024514426
35049001202,Santa Fe, Agua Fria Village  ,0.09,2,224,"5,401",0.041473801
